ProvinciaId,Provincia,Poblacion
VI,Araba/Álava,329228
AB,Albacete,388025
A,Alicante,1897848
AL,Almería,720033
AV,Ávila,159413
BA,Badajoz,667620
IB,Balears; Illes,1219404
B,Barcelona,5629629
BU,Burgos,353687
CC,Cáceres,387159
CZ,Cádiz,1257785
CS,Castellón/Castelló,575897
CR,Ciudad Real,490576
CO,Córdoba,779009
CÑ,A Coruña,1119957
CU,Cuenca,199080
GI,Girona,773577
GR,Granada,928357
GU,Guadalajara,265508
GP,Gipuzkoa,713810
HU,Huelva,531969
HS,Huesca,221993
JA,Jaén,623981
LE,León,453295
LL,Lleida,435911
LO,Rioja; La,315811
LU,Lugo,325194
M,Madrid,6736407
MA,Málaga,1700752
MU,Murcia,1516055
NAV,Navarra,656836
OU,Ourense,304068
AS,Asturias,1008897
PA,Palencia,157701
GC,Palmas; Las,1152224
PO,Pontevedra,941995
SA,Salamanca,326464
TF,Sta. Cruz de Tenerife,1094146
CA,Cantabria,583684
SG,Segovia,153909
S,Sevilla,1958922
SO,Soria,89041
TA,Tarragona,821413
TE,Teruel,133109
TO,Toledo,704532
V,Valencia/Valéncia,2577506
VA,Valladolid,517360
BI,Bizkaia,1134616
ZM,Zamora,168661
ZA,Zaragoza,972528
CE,Ceuta,82787
ML,Melilla,83489
